"Name","Address","Phone","Rating","Reviews","Google Maps","Website","Message","Status","Category"
"Sammamish Cafe & Spirits","22850 NE 8th St, Sammamish, WA 98074","","4.5","","","","Hi, I'm Sunil -- I live in Sammamish and help local restaurants look great online. I came across Sammamish Cafe & Spirits and love what you're doing -- 4.5 stars speaks for itself. I build modern restaurant websites with built-in AI chat that can answer customer questions, handle reservations, and even respond in Spanish or other languages. You keep your existing domain -- we just give it a fresh look. Here's an example: welcomematdigital.com/demos/restaurant/ -- Would you be open to a quick chat? No pressure either way.","","Restaurant"
"Tanoor","22610 SE 4th St #400, Sammamish, WA 98074","","4.3","","","","Hi, I'm Sunil -- I live in Sammamish and help local restaurants look great online. I came across Tanoor and love what you're doing -- 4.3 stars speaks for itself. I build modern restaurant websites with built-in AI chat that can answer customer questions, handle reservations, and even respond in Spanish or other languages. You keep your existing domain -- we just give it a fresh look. Here's an example: welcomematdigital.com/demos/restaurant/ -- Would you be open to a quick chat? No pressure either way.","","Restaurant"
"Thai Trio","600 228th Ave NE, Sammamish, WA 98074","","4.5","","","","Hi, I'm Sunil -- I live in Sammamish and help local restaurants look great online. I came across Thai Trio and love what you're doing -- 4.5 stars speaks for itself. I build modern restaurant websites with built-in AI chat that can answer customer questions, handle reservations, and even respond in Spanish or other languages. You keep your existing domain -- we just give it a fresh look. Here's an example: welcomematdigital.com/demos/restaurant/ -- Would you be open to a quick chat? No pressure either way.","","Restaurant"
"La Casita Cocina Mexicana & Cantina","3076 Issaquah-Pine Lake Rd SE, Sammamish, WA 98075","","4.5","","","","Hi, I'm Sunil -- I live in Sammamish and help local restaurants look great online. I came across La Casita Cocina Mexicana & Cantina and love what you're doing -- 4.5 stars speaks for itself. I build modern restaurant websites with built-in AI chat that can answer customer questions, handle reservations, and even respond in Spanish or other languages. You keep your existing domain -- we just give it a fresh look. Here's an example: welcomematdigital.com/demos/restaurant/ -- Would you be open to a quick chat? No pressure either way.","","Restaurant"
"The Well and Table","317 NW Gilman Blvd #43, Issaquah, WA 98027","","4.4","","","","Hi, I'm Sunil -- I live in Sammamish and help local restaurants look great online. I came across The Well and Table and love what you're doing -- 4.4 stars speaks for itself. I build modern restaurant websites with built-in AI chat that can answer customer questions, handle reservations, and even respond in Spanish or other languages. You keep your existing domain -- we just give it a fresh look. Here's an example: welcomematdigital.com/demos/restaurant/ -- Would you be open to a quick chat? No pressure either way.","","Restaurant"
"Chan Kitchen","525 NW Locust St, Issaquah, WA 98027","","4.5","","","","Hi, I'm Sunil -- I live in Sammamish and help local restaurants look great online. I came across Chan Kitchen and love what you're doing -- 4.5 stars speaks for itself. I build modern restaurant websites with built-in AI chat that can answer customer questions, handle reservations, and even respond in Spanish or other languages. You keep your existing domain -- we just give it a fresh look. Here's an example: welcomematdigital.com/demos/restaurant/ -- Would you be open to a quick chat? No pressure either way.","","Restaurant"
"The Black Duck Cask and Bottle","317 NW Gilman Blvd #31b, Issaquah, WA 98027","","4.5","","","","Hi, I'm Sunil -- I live in Sammamish and help local restaurants look great online. I came across The Black Duck Cask and Bottle and love what you're doing -- 4.5 stars speaks for itself. I build modern restaurant websites with built-in AI chat that can answer customer questions, handle reservations, and even respond in Spanish or other languages. You keep your existing domain -- we just give it a fresh look. Here's an example: welcomematdigital.com/demos/restaurant/ -- Would you be open to a quick chat? No pressure either way.","","Restaurant"
"Masthi Bar & Grill","984 NE Park Dr, Issaquah, WA 98027","","4.5","","","","Hi, I'm Sunil -- I live in Sammamish and help local restaurants look great online. I came across Masthi Bar & Grill and love what you're doing -- 4.5 stars speaks for itself. I build modern restaurant websites with built-in AI chat that can answer customer questions, handle reservations, and even respond in Spanish or other languages. You keep your existing domain -- we just give it a fresh look. Here's an example: welcomematdigital.com/demos/restaurant/ -- Would you be open to a quick chat? No pressure either way.","","Restaurant"
"Pasifika Grill & Bar","625 116th Ave NE, Bellevue, WA 98004","","4.7","","","","Hi, I'm Sunil -- I live in Sammamish and help local restaurants look great online. I came across Pasifika Grill & Bar and love what you're doing -- 4.7 stars speaks for itself. I build modern restaurant websites with built-in AI chat that can answer customer questions, handle reservations, and even respond in Spanish or other languages. You keep your existing domain -- we just give it a fresh look. Here's an example: welcomematdigital.com/demos/restaurant/ -- Would you be open to a quick chat? No pressure either way.","","Restaurant"
"Sizzle & Crunch Vietnamese Grill","14505 NE 20th St Suite H, Bellevue, WA 98007","","4.5","","","","Hi, I'm Sunil -- I live in Sammamish and help local restaurants look great online. I came across Sizzle & Crunch Vietnamese Grill and love what you're doing -- 4.5 stars speaks for itself. I build modern restaurant websites with built-in AI chat that can answer customer questions, handle reservations, and even respond in Spanish or other languages. You keep your existing domain -- we just give it a fresh look. Here's an example: welcomematdigital.com/demos/restaurant/ -- Would you be open to a quick chat? No pressure either way.","","Restaurant"
"Lunch On The Plate Bellevue","10438 NE 10th St, Bellevue, WA 98004","","4.5","","","","Hi, I'm Sunil -- I live in Sammamish and help local restaurants look great online. I came across Lunch On The Plate Bellevue and love what you're doing -- 4.5 stars speaks for itself. I build modern restaurant websites with built-in AI chat that can answer customer questions, handle reservations, and even respond in Spanish or other languages. You keep your existing domain -- we just give it a fresh look. Here's an example: welcomematdigital.com/demos/restaurant/ -- Would you be open to a quick chat? No pressure either way.","","Restaurant"
